Date,Team.1,Team.2,FT,HT
2017-05-12,Orleans,Clermont,2-2,2-2
2017-05-12,Red Star,Sochaux,1-1,0-1
2017-05-12,Tours,Le Havre,0-4,0-2
2017-05-12,Troyes,Reims,2-0,2-0
2017-05-12,Valenciennes,Auxerre,0-0,0-0
2017-05-19,Ajaccio,Tours,3-2,1-0
2017-05-19,Auxerre,Red Star,1-0,0-0
2017-05-19,Brest,Ajaccio GFCO,6-2,3-0
2017-05-19,Clermont,Valenciennes,1-0,0-0
2017-05-19,Laval,Nimes,1-2,1-0
2017-05-19,Le Havre,Orleans,4-1,2-1
2017-05-19,Lens,Niort,3-1,2-0
2017-05-19,Reims,Amiens,1-2,0-1
2017-05-19,Sochaux,Troyes,2-3,2-0
2017-05-19,Strasbourg,Bourg Peronnas,2-1,2-0
